tf_name	task_index	fold_num	run_num (profile/count)	epoch_num (profile/count)	test_prof_nll	test_count_mse	test_count_pears	test_count_spear	val_loss (profile/count)
E2F6	0	1	2/6	19/3	396.923	0.561	0.688	0.704	190.261/0.690
E2F6	1	1	8/11	11/17	237.788	0.542	0.639	0.653	103.332/0.545
FOXA2	0	7	2/6	15/13	268.236	1.068	0.553	0.567	141.297/0.602
FOXA2	1	7	8/10	6/16	320.027	0.616	0.555	0.529	182.888/0.427
FOXA2	2	7	14/17	4/10	186.529	0.504	0.539	0.517	106.065/0.471
FOXA2	3	7	21/23	9/17	206.030	0.311	0.570	0.562	123.678/0.385
SPI1	0	8	2/6	6/20	212.404	0.450	0.698	0.642	117.180/0.408
SPI1	1	8	9/10	7/5	136.363	0.402	0.607	0.554	76.666/0.377
SPI1	2	8	14/17	8/17	180.449	0.658	0.621	0.564	101.111/0.564
SPI1	3	8	20/22	11/12	178.291	0.355	0.702	0.675	104.365/0.347
CEBPB	0	7	3/4	5/14	194.951	0.711	0.601	0.590	99.212/0.459
CEBPB	1	7	7/10	2/12	199.335	0.578	0.639	0.626	107.636/0.388
CEBPB	2	7	14/18	13/15	148.716	0.319	0.613	0.552	87.962/0.333
CEBPB	3	7	19/24	17/12	133.263	0.385	0.653	0.602	73.957/0.344
CEBPB	4	7	27/29	10/8	163.797	0.523	0.609	0.564	92.813/0.476
CEBPB	5	7	31/35	20/15	169.331	0.542	0.562	0.494	97.279/0.485
CEBPB	6	7	37/41	12/18	129.055	0.223	0.563	0.542	71.647/0.243
MAX	0	1	2/6	20/7	388.617	0.516	0.748	0.748	187.019/0.571
MAX	1	1	7/11	16/8	214.253	0.276	0.676	0.695	119.536/0.306
MAX	2	1	14/18	3/13	186.353	0.302	0.594	0.592	104.881/0.289
MAX	3	1	21/22	5/16	252.811	0.654	0.690	0.707	122.439/0.596
MAX	4	1	25/28	7/16	104.169	0.619	0.493	0.468	53.447/0.638
MAX	5	1	32/34	18/13	311.714	0.380	0.640	0.647	181.060/0.368
MAX	6	1	37/42	9/14	268.209	0.327	0.651	0.636	149.001/0.353
GABPA	0	7	3/4	20/18	244.932	0.514	0.798	0.795	128.840/0.445
GABPA	1	7	8/11	3/13	223.105	0.295	0.662	0.653	119.890/0.330
GABPA	2	7	13/16	19/9	471.202	0.769	0.827	0.839	203.194/0.453
GABPA	3	7	20/22	4/12	383.658	0.945	0.750	0.715	190.087/0.696
GABPA	4	7	26/30	4/7	372.029	0.647	0.783	0.699	197.178/0.463
GABPA	5	7	31/35	20/7	261.939	0.561	0.745	0.744	138.301/0.428
GABPA	6	7	37/42	15/8	301.670	0.554	0.825	0.774	169.945/0.445
GABPA	7	7	45/46	10/11	315.252	0.597	0.868	0.876	157.209/0.513
GABPA	8	7	50/52	12/20	435.742	0.626	0.781	0.794	224.719/0.436
MAFK	0	7	1/5	8/15	267.692	0.259	0.699	0.638	164.030/0.263
MAFK	1	7	7/10	6/14	172.568	0.328	0.661	0.580	97.860/0.300
MAFK	2	7	15/16	8/12	328.958	0.298	0.621	0.587	190.755/0.342
MAFK	3	7	20/24	8/13	135.197	0.230	0.699	0.661	78.414/0.241
MAFK	4	7	27/29	15/18	164.571	0.269	0.794	0.732	96.040/0.255
MAFK	5	7	31/34	3/19	170.297	0.335	0.749	0.651	100.466/0.298
MAFK	6	7	39/40	17/15	218.380	0.378	0.677	0.609	121.242/0.334
MAFK	7	7	44/48	2/16	287.910	0.160	0.797	0.744	183.782/0.212
MAFK	8	7	50/52	6/19	278.379	0.201	0.793	0.695	164.722/0.198
JUND	0	7	1/6	18/3	220.482	1.003	0.643	0.660	106.594/0.384
JUND	1	7	7/12	6/20	322.868	0.588	0.378	0.452	176.816/0.562
JUND	2	7	15/18	18/9	238.529	0.471	0.481	0.481	132.823/0.486
JUND	3	7	19/23	10/18	254.949	0.517	0.789	0.802	129.339/0.519
JUND	4	7	27/30	19/20	283.159	0.610	0.734	0.740	152.785/0.321
JUND	5	7	33/34	6/20	180.547	0.410	0.554	0.550	92.879/0.545
JUND	6	7	39/40	19/4	208.189	0.392	0.614	0.628	109.760/0.424
JUND	7	7	44/46	5/9	179.786	0.531	0.473	0.499	93.659/0.379
JUND	8	7	50/54	1/14	192.358	0.385	0.504	0.501	113.716/0.376
JUND	9	7	55/59	16/20	133.624	0.546	0.544	0.500	73.377/0.402
JUND	10	7	61/64	17/16	242.179	0.691	0.554	0.523	127.300/0.624
JUND	11	7	69/72	19/13	189.262	0.519	0.579	0.578	100.290/0.395
JUND	12	7	73/78	10/17	246.080	0.447	0.540	0.493	143.433/0.421
JUND	13	7	80/83	16/19	232.735	0.547	0.453	0.443	133.867/0.491
NR3C1-reddytime	0	5	1/6	4/15	181.776	0.945	0.574	0.624	75.595/0.359
NR3C1-reddytime	1	5	9/10	2/12	215.594	1.060	0.470	0.492	100.197/0.703
NR3C1-reddytime	2	5	15/18	5/19	198.003	0.563	0.592	0.549	92.154/0.520
NR3C1-reddytime	3	5	21/24	19/18	207.130	0.736	0.514	0.538	108.152/0.779
NR3C1-reddytime	4	5	25/30	16/10	219.973	0.904	0.516	0.457	92.949/0.678
NR3C1-reddytime	5	5	32/34	10/7	251.289	0.225	0.653	0.636	118.111/0.238
NR3C1-reddytime	6	5	38/40	9/6	202.070	0.394	0.490	0.464	106.115/0.382
NR3C1-reddytime	7	5	44/48	3/10	235.074	0.329	0.603	0.597	119.946/0.343
NR3C1-reddytime	8	5	51/52	2/20	234.812	0.355	0.577	0.587	118.695/0.329
NR3C1-reddytime	9	5	56/58	10/4	217.507	0.342	0.578	0.568	108.859/0.323
NR3C1-reddytime	10	5	61/64	3/13	220.248	0.268	0.659	0.654	103.548/0.300
NR3C1-reddytime	11	5	67/72	14/3	217.679	0.424	0.492	0.474	110.054/0.346
NR3C1-reddytime	12	5	73/77	6/15	250.562	0.391	0.647	0.631	126.592/0.390
NR3C1-reddytime	13	5	81/82	12/2	239.174	0.387	0.633	0.616	117.477/0.375
NR3C1-reddytime	14	5	87/88	12/6	247.684	0.342	0.645	0.620	122.235/0.397
NR3C1-reddytime	15	5	92/94	10/6	216.277	0.379	0.550	0.561	107.965/0.349
REST	0	7	1/4	18/14	256.386	0.760	0.768	0.716	133.383/0.468
REST	1	7	7/10	4/15	253.466	0.752	0.802	0.665	133.152/0.531
REST	2	7	15/18	19/17	315.081	1.280	0.646	0.696	148.995/0.463
REST	3	7	19/24	5/4	255.910	0.885	0.803	0.748	137.557/0.573
REST	4	7	25/30	3/9	318.580	0.521	0.719	0.683	162.952/0.477
REST	5	7	31/34	17/17	224.207	0.769	0.708	0.631	118.891/0.511
REST	6	7	39/40	2/18	192.388	0.874	0.769	0.679	96.806/0.635
REST	7	7	44/47	8/7	336.861	0.973	0.678	0.599	169.900/0.696
REST	8	7	51/52	6/12	260.504	0.848	0.695	0.655	134.066/0.393
REST	9	7	55/58	9/10	249.722	0.768	0.754	0.642	130.272/0.572
REST	10	7	62/66	14/10	257.095	0.668	0.637	0.589	128.905/0.403
REST	11	7	69/71	15/19	172.335	0.548	0.669	0.645	88.841/0.431
REST	12	7	75/77	12/20	314.333	0.574	0.617	0.523	179.236/0.514
REST	13	7	79/82	1/5	203.523	0.493	0.721	0.612	105.571/0.401
REST	14	7	86/90	2/12	314.417	0.547	0.789	0.715	173.974/0.401
REST	15	7	92/95	11/20	482.399	0.430	0.705	0.711	283.967/0.347
REST	16	7	98/101	11/16	304.129	0.345	0.845	0.826	167.944/0.285
REST	17	7	105/107	7/18	301.758	0.557	0.672	0.613	172.293/0.520
REST	18	7	109/113	16/12	458.962	0.467	0.758	0.730	261.160/0.373
REST	19	7	116/119	19/18	260.441	0.610	0.725	0.609	142.602/0.515
